ego,n_nodes,n_labelled,n_circles,lou_k,lei_k,lou_Q,lei_Q,lou_nmi,lou_ari,lei_nmi,lei_ari
174285878,228,76,11,5,4,0.23786813413645302,0.23796866034709768,0.4148129476553498,0.15989592082034598,0.3473218471124396,0.12463504138429828
17503591,195,153,4,6,5,0.26252350108308914,0.2755040196654462,0.08914763091742503,0.04898628373802217,0.11171061950463732,0.06786224163784452
175553601,201,94,50,5,4,0.10410933910999945,0.10784972469018216,0.18317937885681987,0.004431254366238363,0.1406074425628024,0.013227806373801745
17561785,143,38,5,4,4,0.34672094674556225,0.3467209467455622,0.338352574211991,0.0705490324479132,0.338352574211991,0.0705490324479132
17600223,95,64,2,2,2,0.3178369784734523,0.3178369784734523,0.898081991492845,0.9374999999999998,0.898081991492845,0.9374999999999998
17602896,161,10,2,5,5,0.15902313240110857,0.16145423910304862,0.0,0.0,0.0,0.0
176310143,225,98,8,7,7,0.2360294636348672,0.23573307264643117,0.32400170434235687,0.15028635904333326,0.3326319335930502,0.16918716617772123
17636894,90,10,3,6,5,0.23611072664359867,0.2541480968858132,0.41146029889696484,0.09999999999999977,0.037889759992150635,-0.0404624277456645
17658786,202,93,6,5,4,0.14159235912517054,0.142470500525957,0.3663981845225644,0.24916157656810045,0.24525338570349708,0.1539545695692024
176589903,25,25,2,2,2,0.05586462111557694,0.05939368689344185,0.0013082839680579978,-0.008029324489439753,0.00014339357105886669,-0.011935651271406313
176872879,42,31,3,5,5,0.20543491983335438,0.21869082186592612,0.20141090909445322,0.02283445023579075,0.2732920593612155,0.10750030890893371
17714569,190,75,6,5,5,0.28652797916624734,0.28721622456489154,0.5147070290042732,0.4240311884642025,0.5419248133597093,0.5285909642325314
17723880,123,81,3,4,4,0.3227044454088908,0.3236961373922748,0.1616592737106673,0.11067692804175638,0.10559313684618879,0.07011367648841366
17767841,153,53,6,8,8,0.5274030647667208,0.537493957400419,0.8425292746254458,0.7495389376723772,0.7833510563922511,0.7054857421464088
